Month,SKU,Facility,Excess_Inventory,Marginal,Lower,Upper,Scale
43,SKUT2,Austin,39366.833333333336,0.0,0.0,inf,1.0
112,SKUT2,Austin,38604.833333333336,0.0,0.0,inf,1.0
1,SKUE2,Austin,38560.0,0.0,0.0,inf,1.0
114,SKUD1,Columbus,38332.95238095238,0.0,0.0,inf,1.0
116,SKUD3,Columbus,38328.92857142855,0.0,0.0,inf,1.0
99,SKUT2,Austin,37155.833333333336,0.0,0.0,inf,1.0
54,SKUT2,Austin,37102.833333333336,0.0,0.0,inf,1.0
91,SKUD1,Columbus,36794.857142857145,0.0,0.0,inf,1.0
66,SKUT3,Austin,36639.83333333333,0.0,0.0,inf,1.0
104,SKUT3,Austin,36613.83333333333,0.0,0.0,inf,1.0
110,SKUT2,Austin,36577.833333333336,0.0,0.0,inf,1.0
79,SKUD1,Sacramento,36499.90476190475,0.0,0.0,inf,1.0
103,SKUE1,Austin,36203.95238095238,0.0,0.0,inf,1.0
118,SKUT3,Austin,35950.83333333333,0.0,0.0,inf,1.0
113,SKUT3,Austin,35671.83333333333,0.0,0.0,inf,1.0
118,SKUT2,Austin,34988.833333333336,0.0,0.0,inf,1.0
56,SKUT2,Austin,34471.833333333336,0.0,0.0,inf,1.0
101,SKUT3,Austin,34241.83333333333,0.0,0.0,inf,1.0
76,SKUT2,Austin,34073.833333333336,0.0,0.0,inf,1.0
111,SKUT2,Austin,34050.833333333336,0.0,0.0,inf,1.0
91,SKUE1,Austin,33783.66666666667,0.0,0.0,inf,1.0
79,SKUT3,Austin,33528.83333333333,0.0,0.0,inf,1.0
88,SKUT2,Austin,33379.833333333336,0.0,0.0,inf,1.0
92,SKUT2,Austin,33103.833333333336,0.0,0.0,inf,1.0
114,SKUE1,Austin,32978.95238095238,0.0,0.0,inf,1.0
113,SKUD3,Columbus,32583.690476190444,0.0,0.0,inf,1.0
77,SKUT2,Austin,32376.833333333336,0.0,0.0,inf,1.0
67,SKUT3,Austin,32327.833333333332,0.0,0.0,inf,1.0
66,SKUT2,Austin,31927.833333333336,0.0,0.0,inf,1.0
69,SKUT2,Austin,31829.833333333336,0.0,0.0,inf,1.0
57,SKUT2,Austin,31758.833333333336,0.0,0.0,inf,1.0
74,SKUT2,Austin,31669.833333333336,0.0,0.0,inf,1.0
87,SKUT2,Austin,31530.833333333336,0.0,0.0,inf,1.0
107,SKUT2,Austin,31204.833333333336,0.0,0.0,inf,1.0
105,SKUT2,Austin,31193.833333333336,0.0,0.0,inf,1.0
116,SKUE1,Austin,30947.71428571429,0.0,0.0,inf,1.0
113,SKUE1,Austin,29824.595238095237,0.0,0.0,inf,1.0
112,SKUT3,Austin,29673.833333333332,0.0,0.0,inf,1.0
44,SKUT3,Austin,29641.833333333332,0.0,0.0,inf,1.0
75,SKUT2,Austin,29530.833333333336,0.0,0.0,inf,1.0
110,SKUT3,Austin,29460.833333333332,0.0,0.0,inf,1.0
79,SKUD3,Sacramento,29432.404761904734,0.0,0.0,inf,1.0
109,SKUT2,Austin,28921.833333333336,0.0,0.0,inf,1.0
104,SKUD3,Sacramento,28893.166666666642,0.0,0.0,inf,1.0
90,SKUT2,Austin,28886.833333333336,0.0,0.0,inf,1.0
102,SKUD3,Columbus,28848.833333333314,0.0,0.0,inf,1.0
89,SKUT3,Austin,28699.833333333332,0.0,0.0,inf,1.0
104,SKUD1,Columbus,28654.714285714275,0.0,0.0,inf,1.0
104,SKUE1,Austin,28574.523809523816,0.0,0.0,inf,1.0
117,SKUT3,Austin,28185.833333333332,0.0,0.0,inf,1.0
94,SKUT3,Austin,27872.833333333332,0.0,0.0,inf,1.0
20,SKUT2,Austin,27617.833333333336,0.0,0.0,inf,1.0
80,SKUT3,Austin,27589.833333333332,0.0,0.0,inf,1.0
119,SKUT3,Austin,27254.833333333332,0.0,0.0,inf,1.0
116,SKUC2,Columbus,27173.0,0.0,0.0,inf,1.0
91,SKUC2,Sacramento,27144.0,0.0,0.0,inf,1.0
111,SKUT3,Austin,27077.833333333332,0.0,0.0,inf,1.0
90,SKUT3,Austin,26949.833333333332,0.0,0.0,inf,1.0
99,SKUT3,Austin,26866.833333333332,0.0,0.0,inf,1.0
65,SKUT2,Austin,26765.833333333336,0.0,0.0,inf,1.0
106,SKUT3,Austin,26560.833333333332,0.0,0.0,inf,1.0
32,SKUT3,Austin,26499.833333333332,0.0,0.0,inf,1.0
77,SKUT3,Austin,26425.833333333332,0.0,0.0,inf,1.0
31,SKUT2,Austin,26404.833333333336,0.0,0.0,inf,1.0
86,SKUT2,Austin,26380.833333333336,0.0,0.0,inf,1.0
