Month,Day,Facility,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
109,4,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,4,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,4,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,4,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,4,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,4,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,4,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,5,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,5,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,5,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,5,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,5,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,5,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,5,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,5,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,5,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,5,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,5,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,5,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,5,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,5,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,5,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,5,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,6,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,6,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,6,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,6,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,6,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,6,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,6,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,6,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,6,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,6,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,6,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,6,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,6,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,6,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,6,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,6,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,7,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
