Month,Day,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
112,9,Pallet,3583152,250627.92857142855,6.994621734479267
112,9,Racking,3107328,65019.19047619048,2.092446966531711
112,9,Bins,10631520,114110.90476190476,1.073326342441201
112,9,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,10,Pallet,3583152,250627.92857142855,6.994621734479267
112,10,Racking,3107328,65019.19047619048,2.092446966531711
112,10,Bins,10631520,114110.90476190476,1.073326342441201
112,10,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,11,Pallet,3583152,250627.92857142855,6.994621734479267
112,11,Racking,3107328,65019.19047619048,2.092446966531711
112,11,Bins,10631520,114110.90476190476,1.073326342441201
112,11,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,12,Pallet,3583152,250627.92857142855,6.994621734479267
112,12,Racking,3107328,65019.19047619048,2.092446966531711
112,12,Bins,10631520,114110.90476190476,1.073326342441201
112,12,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,13,Pallet,3583152,250627.92857142855,6.994621734479267
112,13,Racking,3107328,65019.19047619048,2.092446966531711
112,13,Bins,10631520,114110.90476190476,1.073326342441201
112,13,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,14,Pallet,3583152,250627.92857142855,6.994621734479267
112,14,Racking,3107328,65019.19047619048,2.092446966531711
112,14,Bins,10631520,114110.90476190476,1.073326342441201
112,14,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,15,Pallet,3583152,250627.92857142855,6.994621734479267
112,15,Racking,3107328,65019.19047619048,2.092446966531711
112,15,Bins,10631520,114110.90476190476,1.073326342441201
112,15,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,16,Pallet,3583152,250627.92857142855,6.994621734479267
112,16,Racking,3107328,65019.19047619048,2.092446966531711
112,16,Bins,10631520,114110.90476190476,1.073326342441201
112,16,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,17,Pallet,3583152,250627.92857142855,6.994621734479267
112,17,Racking,3107328,65019.19047619048,2.092446966531711
112,17,Bins,10631520,114110.90476190476,1.073326342441201
112,17,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,18,Pallet,3583152,250627.92857142855,6.994621734479267
112,18,Racking,3107328,65019.19047619048,2.092446966531711
112,18,Bins,10631520,114110.90476190476,1.073326342441201
112,18,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,19,Pallet,3583152,250627.92857142855,6.994621734479267
112,19,Racking,3107328,65019.19047619048,2.092446966531711
112,19,Bins,10631520,114110.90476190476,1.073326342441201
112,19,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,20,Pallet,3583152,250627.92857142855,6.994621734479267
112,20,Racking,3107328,65019.19047619048,2.092446966531711
112,20,Bins,10631520,114110.90476190476,1.073326342441201
112,20,Hazmat,2015360,27508.309523809523,1.3649327923452645
112,21,Pallet,3583152,250627.92857142855,6.994621734479267
112,21,Racking,3107328,65019.19047619048,2.092446966531711
112,21,Bins,10631520,114110.90476190476,1.073326342441201
112,21,Hazmat,2015360,27508.309523809523,1.3649327923452645
113,1,Pallet,3583152,290051.04761904763,8.094857477970448
113,1,Racking,3107328,70941.61904761904,2.283042506218173
113,1,Bins,10631520,140133.5,1.3180946844853794
113,1,Hazmat,2015360,27520.380952380954,1.3655317636740312
