Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,8,Austin,Canvas & Co.,Domestic,15074.7619,376.8690476,1,33.4994709,10.46858466,weight,1,SKUA3
1,8,Austin,Bound to Learn,Domestic,1032407.143,49100.26786,23,99.7494824,59.29984041,weight,3,"SKUT1,SKUT2,SKUT4"
1,8,Austin,Form & Function,Domestic,250124.2857,143435.9788,40,13.89579365,99.60831864,volume,2,"SKUD2,SKUC1"
1,9,Columbus,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,9,Columbus,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,9,Columbus,Form & Function,Domestic,65105,119049.1429,34,4.255228758,97.26237162,volume,1,SKUD3
1,9,Columbus,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,9,Sacramento,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,9,Sacramento,Bound to Learn,Domestic,1032407.143,49100.26786,23,99.7494824,59.29984041,weight,3,"SKUT1,SKUT2,SKUT4"
1,9,Sacramento,Form & Function,Domestic,586613.3333,181028.8836,51,25.56049383,98.5996098,volume,3,"SKUD1,SKUC1,SKUC2"
1,9,Austin,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,9,Austin,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,9,Austin,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,9,Austin,Form & Function,Domestic,105178.5714,89752.38095,25,9.349206349,99.72486772,volume,1,SKUD2
1,9,Austin,VoltEdge,International,132305.7143,14822.0948,5,58.80253968,82.3449711,volume,2,"SKUE1,SKUE3"
1,10,Columbus,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,10,Columbus,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
1,10,Columbus,Form & Function,Domestic,487740.4762,212172.1905,59,18.3706394,99.89274505,volume,2,"SKUD2,SKUC2"
1,10,Columbus,VoltEdge,International,132305.7143,14822.0948,5,58.80253968,82.3449711,volume,2,"SKUE1,SKUE3"
1,10,Sacramento,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,10,Sacramento,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,10,Sacramento,Bound to Learn,Domestic,550703.5714,26269.77679,13,94.13736264,56.13200168,weight,2,"SKUT3,SKUT4"
1,10,Sacramento,Form & Function,Domestic,269156.4286,177658.2169,50,11.96250794,98.69900941,volume,3,"SKUD1,SKUD3,SKUC1"
1,10,Austin,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,10,Austin,Canvas & Co.,Domestic,23878.19048,674.0526896,1,53.0626455,18.72368582,weight,2,"SKUA2,SKUA3"
1,10,Austin,Bound to Learn,Domestic,27167.85714,792.3958333,1,60.37301587,22.01099537,weight,1,SKUT1
1,10,Austin,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,11,Columbus,The Write Stuff,International,81141.66667,1573.522928,2,90.15740741,21.85448511,weight,3,"SKUW1,SKUW2,SKUW3"
1,11,Columbus,Canvas & Co.,Domestic,15074.7619,376.8690476,1,33.4994709,10.46858466,weight,1,SKUA3
1,11,Columbus,Bound to Learn,Domestic,577871.4286,27062.17262,13,98.78144078,57.82515517,weight,3,"SKUT1,SKUT3,SKUT4"
1,11,Columbus,Form & Function,Domestic,210050.7143,172732.7407,48,9.724570106,99.96107682,volume,2,"SKUD3,SKUC1"
1,11,Columbus,VoltEdge,International,1087124.762,132338.2853,37,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,11,Sacramento,Canvas & Co.,Domestic,13563.42857,340.2247299,1,30.14095238,9.450686943,weight,2,"SKUA1,SKUA2"
1,11,Sacramento,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
1,11,Sacramento,Form & Function,Domestic,546846.1905,217097.6667,61,19.92153699,98.86050395,volume,3,"SKUD1,SKUD2,SKUC2"
