sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,num_shipped_immediately,total_delay_days,days_above_baseline,pct_days_above_baseline,shipment_balance_ok,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim13,2365905,28238.755555555555,83.78219767317414,119,95,1878.254901248101,0,0.0,True,13,0.5,14.0,High Disruption
TotalInventory_Sim14,2365905,22875.72619047619,103.42425767383914,119,95,1638.6833640879051,0,0.0,True,14,0.5,14.0,High Disruption
TotalInventory_Sim15,1805674,26777.10119047619,67.43351295405434,120,94,1775.795090497491,0,0.0,True,15,0.5,14.0,High Disruption
TotalInventory_Sim16,1805674,33590.47023809524,53.75554397425999,119,88,1729.7448500904864,0,0.0,True,16,0.5,14.0,High Disruption
TotalInventory_Sim17,2365905,37358.59761904762,63.32959882824193,119,95,1897.6656474685597,0,0.0,True,17,0.5,14.0,High Disruption
TotalInventory_Sim18,2365905,29829.261904761905,79.31490251263341,120,93,1802.1187139920619,0,0.0,True,18,0.5,14.0,High Disruption
TotalInventory_Sim19,1707935,39682.81031746032,43.03966846946104,118,85,1458.154216502227,0,0.0,True,19,0.5,14.0,High Disruption
TotalInventory_Sim20,2365905,45383.221825396824,52.13171090193557,118,85,1525.5219840128836,0,0.0,True,20,0.5,14.0,High Disruption
TotalInventory_Sim21,2365905,33581.670634920636,70.45227218504614,120,92,1787.2144009831,0,0.0,True,21,0.5,14.0,High Disruption
TotalInventory_Sim22,2106228,33317.70952380952,63.216470462798355,118,89,1410.9182122609288,0,0.0,True,22,0.5,14.0,High Disruption
TotalInventory_Sim23,2365905,31154.725793650792,75.94048542331134,119,92,1595.8570397327046,0,0.0,True,23,0.5,14.0,High Disruption
TotalInventory_Sim24,2365905,30473.788492063493,77.63737681044054,117,90,1555.7688412024127,0,0.0,True,24,0.5,14.0,High Disruption
TotalInventory_Sim25,1740216,30861.559523809523,56.38781794735399,120,90,1597.1494836882248,0,0.0,True,25,0.5,14.0,High Disruption
TotalInventory_Sim26,2106228,31844.266666666666,66.1415137000067,120,95,1927.900898204954,0,0.0,True,26,0.5,14.0,High Disruption
TotalInventory_Sim27,2106228,54184.43214285714,38.87146024612631,119,79,1399.6937920697824,0,0.0,True,27,0.5,14.0,High Disruption
TotalInventory_Sim28,2365905,30853.27658730159,76.68245521040528,118,94,1897.0974263386609,0,0.0,True,28,0.5,14.0,High Disruption
TotalInventory_Sim29,2365905,37540.70793650793,63.02238636526039,120,88,1756.381382570928,0,0.0,True,29,0.5,14.0,High Disruption
TotalInventory_Sim30,1805674,37030.20476190476,48.762193231445686,119,92,1551.4230329363268,0,0.0,True,30,0.5,14.0,High Disruption
TotalInventory_Sim31,2106228,53877.71388888889,39.092750006869984,118,78,1331.8518360029002,0,0.0,True,31,0.5,14.0,High Disruption
TotalInventory_Sim32,1739808,30661.13015873016,56.74311387066153,120,90,1502.1470917240763,0,0.0,True,32,0.5,14.0,High Disruption
TotalInventory_Sim33,1823494,35851.33531746032,50.86265222349813,119,92,1626.8974382149381,0,0.0,True,33,0.5,14.0,High Disruption
TotalInventory_Sim34,2106228,23263.742063492064,90.53693916703611,120,96,1870.089117383316,0,0.0,True,34,0.5,14.0,High Disruption
TotalInventory_Sim35,1740216,32245.990079365078,53.96689621614697,119,91,1625.4539694802875,0,0.0,True,35,0.5,14.0,High Disruption
TotalInventory_Sim36,1740216,47577.47261904762,36.576470001546596,119,83,1400.0915709204642,0,0.0,True,36,0.5,14.0,High Disruption
TotalInventory_Sim37,2365905,33839.84166666667,69.9147774775345,118,93,1530.9567514909947,0,0.0,True,37,0.5,14.0,High Disruption
TotalInventory_Sim38,1654607,30352.905952380952,54.512309384670594,120,93,1859.9818334851961,0,0.0,True,38,0.5,14.0,High Disruption
TotalInventory_Sim39,2106228,35333.46111111111,59.61001084430041,118,87,1804.4146645680316,0,0.0,True,39,0.5,14.0,High Disruption
TotalInventory_Sim40,2106228,32479.885317460317,64.84715014888764,118,90,1573.5705891408727,0,0.0,True,40,0.5,14.0,High Disruption
TotalInventory_Sim41,2365905,36000.67579365079,65.71834966545987,118,87,1787.1191865978228,0,0.0,True,41,0.5,14.0,High Disruption
TotalInventory_Sim42,1740216,38269.66150793651,45.47246908988488,119,83,1642.1759114137776,0,0.0,True,42,0.5,14.0,High Disruption
TotalInventory_Sim43,2365905,27695.85515873016,85.42451520057976,120,96,1510.89264333087,0,0.0,True,43,0.5,14.0,High Disruption
TotalInventory_Sim44,1740216,40265.39047619048,43.21865451743267,120,86,1386.8302891392668,0,0.0,True,44,0.5,14.0,High Disruption
TotalInventory_Sim45,2106228,40924.594047619044,51.466069463003954,117,88,1686.8663467714755,0,0.0,True,45,0.5,14.0,High Disruption
TotalInventory_Sim46,2106228,43481.75833333333,48.439347458158224,116,83,1367.2399477330162,0,0.0,True,46,0.5,14.0,High Disruption
TotalInventory_Sim47,1805674,28590.473015873016,63.15649268892879,120,94,1495.0362831979191,0,0.0,True,47,0.5,14.0,High Disruption
TotalInventory_Sim48,1740216,33160.45396825397,52.478654293031965,119,91,1583.7569270148863,0,0.0,True,48,0.5,14.0,High Disruption
TotalInventory_Sim49,2365905,40131.555555555555,58.9537327234872,118,87,1566.1710552575457,0,0.0,True,49,0.5,14.0,High Disruption
TotalInventory_Sim50,1477322,23100.533333333333,63.951856811386754,119,98,1841.8392228312978,0,0.0,True,50,0.5,14.0,High Disruption
