t_month,t_day,sup,f,level,marginal,lower,upper,scale
12,8,International,Columbus,1924.5925,0.0,0.0,inf,1.0
12,8,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,8,International,Austin,0.0,-0.0,0.0,inf,1.0
12,9,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,9,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,9,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,9,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,9,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,9,International,Austin,0.0,-0.0,0.0,inf,1.0
12,10,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,10,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,10,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,10,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,10,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,10,International,Austin,0.0,-0.0,0.0,inf,1.0
12,11,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,11,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,11,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,11,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,11,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,11,International,Austin,0.0,-0.0,0.0,inf,1.0
12,12,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,12,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,12,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,12,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,12,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,12,International,Austin,0.0,-0.0,0.0,inf,1.0
12,13,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,13,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,13,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,13,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,13,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,13,International,Austin,0.0,-0.0,0.0,inf,1.0
12,14,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,14,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,14,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
