t_month,s,f,level,marginal,lower,upper,scale
5,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUW2,Columbus,283.275,0.0,0.0,inf,1.0
6,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUW3,Sacramento,270.4583333333333,0.0,0.0,inf,1.0
6,SKUW3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUA1,Columbus,1250.0,0.0,0.0,inf,1.0
6,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUA2,Austin,804.0571428571428,0.0,0.0,inf,1.0
6,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUA3,Sacramento,480.71000000000004,0.0,0.0,inf,1.0
6,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUT1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT1,Austin,10456.666666666666,0.0,0.0,inf,1.0
6,SKUT2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT3,Columbus,502.03125,0.0,0.0,inf,1.0
6,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT4,Columbus,9503.333333333332,0.0,0.0,inf,1.0
6,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT4,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD1,Sacramento,65106.0,0.0,0.0,inf,1.0
6,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD2,Sacramento,36854.0,0.0,0.0,inf,1.0
6,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD3,Sacramento,49345.0,0.0,0.0,inf,1.0
6,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUC1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUC1,Sacramento,67168.0,0.0,0.0,inf,1.0
6,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUC2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUC2,Sacramento,2399.708333333333,0.0,0.0,inf,1.0
6,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUE1,Columbus,443.55,0.0,0.0,inf,1.0
6,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUE2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE2,Austin,832.25,0.0,0.0,inf,1.0
6,SKUE3,Columbus,255.20833333333331,0.0,0.0,inf,1.0
6,SKUE3,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
7,SKUW1,Columbus,219.69444444444443,0.0,0.0,inf,1.0
7,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUW1,Austin,514.8472222222222,0.0,0.0,inf,1.0
7,SKUW2,Columbus,306.575,0.0,0.0,inf,1.0
7,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
7,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
7,SKUW3,Columbus,339.3333333333333,0.0,0.0,inf,1.0
7,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUW3,Austin,0.0,0.0,0.0,inf,1.0
7,SKUA1,Columbus,1231.2666666666667,0.0,0.0,inf,1.0
7,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
7,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUA2,Sacramento,840.1142857142856,0.0,0.0,inf,1.0
7,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
7,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUA3,Sacramento,0.0,-0.0,0.0,inf,1.0
7,SKUA3,Austin,508.1,0.0,0.0,inf,1.0
7,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUT1,Sacramento,12630.666666666666,0.0,0.0,inf,1.0
7,SKUT1,Austin,0.0,0.0,0.0,inf,1.0
7,SKUT2,Columbus,857.609375,0.0,0.0,inf,1.0
7,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
7,SKUT3,Columbus,552.875,0.0,0.0,inf,1.0
7,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
7,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUT4,Sacramento,9672.666666666666,0.0,0.0,inf,1.0
7,SKUT4,Austin,0.0,0.0,0.0,inf,1.0
7,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUD1,Sacramento,74168.0,0.0,0.0,inf,1.0
7,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
7,SKUD2,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUD2,Austin,43381.0,0.0,0.0,inf,1.0
7,SKUD3,Columbus,62359.0,0.0,0.0,inf,1.0
7,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
7,SKUC1,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUC1,Austin,71837.0,0.0,0.0,inf,1.0
7,SKUC2,Columbus,0.0,-0.0,0.0,inf,1.0
7,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUC2,Austin,2339.875,0.0,0.0,inf,1.0
7,SKUE1,Columbus,516.85,0.0,0.0,inf,1.0
7,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
7,SKUE2,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUE2,Austin,922.1999999999999,0.0,0.0,inf,1.0
7,SKUE3,Columbus,0.0,0.0,0.0,inf,1.0
7,SKUE3,Sacramento,261.29166666666663,0.0,0.0,inf,1.0
7,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
8,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
8,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
8,SKUW2,Columbus,438.4916666666667,0.0,0.0,inf,1.0
8,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
8,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
8,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUW3,Sacramento,375.1333333333333,0.0,0.0,inf,1.0
8,SKUW3,Austin,0.0,0.0,0.0,inf,1.0
8,SKUA1,Columbus,1661.8666666666666,0.0,0.0,inf,1.0
8,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
8,SKUA2,Columbus,1153.8857142857144,0.0,0.0,inf,1.0
8,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
8,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUA3,Sacramento,0.0,-0.0,0.0,inf,1.0
8,SKUA3,Austin,670.32,0.0,0.0,inf,1.0
8,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUT1,Sacramento,15640.333333333332,0.0,0.0,inf,1.0
8,SKUT1,Austin,0.0,0.0,0.0,inf,1.0
8,SKUT2,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUT2,Austin,760.265625,0.0,0.0,inf,1.0
8,SKUT3,Columbus,585.40625,0.0,0.0,inf,1.0
8,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
8,SKUT4,Columbus,11841.666666666666,0.0,0.0,inf,1.0
8,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUT4,Austin,0.0,0.0,0.0,inf,1.0
8,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUD1,Sacramento,78873.0,0.0,0.0,inf,1.0
8,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
8,SKUD2,Columbus,47070.0,0.0,0.0,inf,1.0
8,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
8,SKUD3,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUD3,Austin,74200.0,0.0,0.0,inf,1.0
8,SKUC1,Columbus,86482.0,0.0,0.0,inf,1.0
8,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
8,SKUC2,Columbus,3238.125,0.0,0.0,inf,1.0
8,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
8,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
8,SKUE1,Columbus,0.0,0.0,0.0,inf,1.0
8,SKUE1,Sacramento,633.32,0.0,0.0,inf,1.0
